# frame  Ti_index  nn_rank  nn_index  nn_symbol  distance_A
0 0 1 12 O 1.7378716868629858
0 0 2 8 O 1.809201481317103
0 0 3 6 O 1.8285412218487171
0 0 4 14 O 1.8915892788869364
0 1 1 3 O 1.7807661272609605
0 1 2 4 O 1.8260342274995833
0 1 3 14 O 1.8873605908781714
0 1 4 6 O 1.910059946703244
0 2 1 5 O 1.7658587146201703
0 2 2 11 O 1.7832658242673751
0 2 3 4 O 1.9287677413312367
0 2 4 14 O 2.0357863345646074
0 9 1 13 O 1.6059396003586188
0 9 2 8 O 1.8722331585569145
0 9 3 3 O 2.0143716141764902
0 9 4 6 O 2.482129327815132
0 10 1 7 O 1.6142738305504427
0 10 2 11 O 1.920253368699037
0 10 3 5 O 2.0054358628487723
0 10 4 12 O 2.006364373686893
1 0 1 12 O 1.7427177051949636
1 0 2 8 O 1.8117157613709716
1 0 3 6 O 1.82415706560592
1 0 4 14 O 1.8917330678507471
1 1 1 3 O 1.7760340649886195
1 1 2 4 O 1.823814135267078
1 1 3 14 O 1.8850106100497155
1 1 4 6 O 1.9124879084585085
1 2 1 5 O 1.7692727319438346
1 2 2 11 O 1.7801421291571078
1 2 3 4 O 1.9303750930842432
1 2 4 14 O 2.028574622733904
1 9 1 13 O 1.602102680854133
1 9 2 8 O 1.8725912527831585
1 9 3 3 O 2.016711679938409
1 9 4 6 O 2.4821855289240564
1 10 1 7 O 1.608871965073666
1 10 2 11 O 1.9204306808630192
1 10 3 5 O 2.0030272090014156
1 10 4 12 O 2.00383731874621
2 0 1 12 O 1.7479891304009876
2 0 2 8 O 1.8150052341522322
2 0 3 6 O 1.821845492899988
2 0 4 14 O 1.8910074034757243
2 1 1 3 O 1.7715806501539804
2 1 2 4 O 1.8225292864587939
2 1 3 14 O 1.8843587768787555
2 1 4 6 O 1.9139341681468565
2 2 1 5 O 1.7712662137578303
2 2 2 11 O 1.7766524702372153
2 2 3 4 O 1.9326812980934027
2 2 4 14 O 2.019395454090159
2 9 1 13 O 1.59960026256562
2 9 2 8 O 1.873548771716392
2 9 3 3 O 2.0181095113992202
2 9 4 6 O 2.4826848370262384
2 10 1 7 O 1.6049065393349236
2 10 2 11 O 1.9204619236006737
2 10 3 12 O 2.000102247386368
2 10 4 5 O 2.00218480665497
3 0 1 12 O 1.7536989479383283
3 0 2 8 O 1.8176504064313357
3 0 3 6 O 1.8207762081046643
3 0 4 14 O 1.8921199750544362
3 1 1 3 O 1.76764164920382
3 1 2 4 O 1.8195749503661562
3 1 3 14 O 1.8810606050842702
3 1 4 6 O 1.915452165938894
3 2 1 5 O 1.7721791670144418
3 2 2 11 O 1.7738026947775225
3 2 3 4 O 1.935298943315993
3 2 4 14 O 2.0110758314892054
3 9 1 13 O 1.5967423085770605
3 9 2 8 O 1.8752762463167925
3 9 3 3 O 2.0195449982607467
3 9 4 6 O 2.482594207678734
3 10 1 7 O 1.6041302939599387
3 10 2 11 O 1.9198325447809244
3 10 3 12 O 1.9965753178881083
3 10 4 5 O 2.0000174999234384
4 0 1 12 O 1.7597048047897124
4 0 2 6 O 1.8197266278207835
4 0 3 8 O 1.821250394646491
4 0 4 14 O 1.8924003276262662
4 1 1 3 O 1.765070820108927
4 1 2 4 O 1.818000275027482
4 1 3 14 O 1.8807368236943731
4 1 4 6 O 1.914930024831195
4 2 1 5 O 1.7724175580263246
4 2 2 11 O 1.772921036030652
4 2 3 4 O 1.9376101259025256
4 2 4 14 O 2.0026235292735377
4 9 1 13 O 1.5973337159153687
4 9 2 8 O 1.8762654396433358
4 9 3 3 O 2.0190893987141827
4 9 4 6 O 2.4838136000916013
4 10 1 7 O 1.6043469076231611
4 10 2 11 O 1.9209859447689877
4 10 3 12 O 1.9921598831419132
4 10 4 5 O 1.996702782088511
5 0 1 12 O 1.7658847640772033
5 0 2 6 O 1.820053021205701
5 0 3 8 O 1.8241515836135989
5 0 4 14 O 1.893649650806611
5 1 1 3 O 1.762418792455414
5 1 2 4 O 1.8152520486147372
5 1 3 14 O 1.8805898010996442
5 1 4 6 O 1.9152770034645121
5 2 1 11 O 1.769828522767107
5 2 2 5 O 1.7720804157825345
5 2 3 4 O 1.9415769364101956
5 2 4 14 O 1.994302635008037
5 9 1 13 O 1.5971984848477663
5 9 2 8 O 1.8775526623772767
5 9 3 3 O 2.0186346871090866
5 9 4 6 O 2.483728246004381
5 10 1 7 O 1.6067383109890674
5 10 2 11 O 1.9208774036882208
5 10 3 12 O 1.9869257661019952
5 10 4 5 O 1.9952488566592388
6 0 1 12 O 1.7728003271660349
6 0 2 6 O 1.8191605206798
6 0 3 8 O 1.8269529276913512
6 0 4 14 O 1.8961893365378892
6 1 1 3 O 1.7618087296866252
6 1 2 4 O 1.8141074940587174
6 1 3 14 O 1.8806993380123256
6 1 4 6 O 1.9147033712823507
6 2 1 11 O 1.769204623552629
6 2 2 5 O 1.7714076323647248
6 2 3 4 O 1.944217323243469
6 2 4 14 O 1.9854820573351954
6 9 1 13 O 1.6000668736024755
6 9 2 8 O 1.8788318179123962
6 9 3 3 O 2.0166085391071813
6 9 4 6 O 2.483174782410614
6 10 1 7 O 1.61134757268567
6 10 2 11 O 1.9221802725030759
6 10 3 12 O 1.9831515322839046
6 10 4 5 O 1.992874557015569
7 0 1 12 O 1.778591015382682
7 0 2 6 O 1.8219379791858998
7 0 3 8 O 1.82988387609706
7 0 4 14 O 1.8984343549356664
7 1 1 3 O 1.761028108804627
7 1 2 4 O 1.8116842992088882
7 1 3 14 O 1.8813657273374573
7 1 4 6 O 1.9130692616839569
7 2 1 11 O 1.7677211318530988
7 2 2 5 O 1.770851207752927
7 2 3 4 O 1.9471895131188437
7 2 4 14 O 1.977521175613551
7 9 1 13 O 1.6020914455798085
7 9 2 8 O 1.8804238883826168
7 9 3 3 O 2.014092599658715
7 9 4 6 O 2.482900118812676
7 10 1 7 O 1.617208397207979
7 10 2 11 O 1.9233203061372801
7 10 3 12 O 1.9772440415892012
7 10 4 5 O 1.988360379810461
8 0 1 12 O 1.784657670254999
8 0 2 6 O 1.8233710538450478
8 0 3 8 O 1.8323618638249382
8 0 4 14 O 1.9007046061921353
8 1 1 3 O 1.7624851772426342
8 1 2 4 O 1.8098179466454631
8 1 3 14 O 1.882320110926938
8 1 4 6 O 1.9114426488911458
8 2 1 5 O 1.768665315993956
8 2 2 11 O 1.76919812344463
8 2 3 4 O 1.9501743511799143
8 2 4 14 O 1.9699162418742582
8 9 1 13 O 1.6062057776013632
8 9 2 8 O 1.8831717924820346
8 9 3 3 O 2.0101823300387456
8 9 4 6 O 2.483670267970368
8 10 1 7 O 1.6230569922217766
8 10 2 11 O 1.9255801723117114
8 10 3 12 O 1.9729759248404428
8 10 4 5 O 1.985369990707022
9 0 1 12 O 1.7907900491124022
9 0 2 6 O 1.8272304178729075
9 0 3 8 O 1.835320135562186
9 0 4 14 O 1.9029645293593886
9 1 1 3 O 1.7631670368969583
9 1 2 4 O 1.8084739423060538
9 1 3 14 O 1.8846710588322835
9 1 4 6 O 1.9078348985171645
9 2 1 5 O 1.7656800389651577
9 2 2 11 O 1.769208014903844
9 2 3 4 O 1.9531602596817292
9 2 4 14 O 1.9623215842465782
9 9 1 13 O 1.6110071384075244
9 9 2 8 O 1.8850623331868896
9 9 3 3 O 2.0062773985668088
9 9 4 6 O 2.48380574924852
9 10 1 7 O 1.6301438586824164
9 10 2 11 O 1.927696552883778
9 10 3 12 O 1.9675746491556554
9 10 4 5 O 1.98233271677587
10 0 1 12 O 1.7964656968614792
10 0 2 6 O 1.8304212629883865
10 0 3 8 O 1.838384888971839
10 0 4 14 O 1.9041074024329614
10 1 1 3 O 1.765431108822998
10 1 2 4 O 1.806844210218468
10 1 3 14 O 1.8863088294338233
10 1 4 6 O 1.9050732269390591
10 2 1 5 O 1.7618473259621563
10 2 2 11 O 1.7700901107005824
10 2 3 14 O 1.9571801143481915
10 2 4 4 O 1.957817917989311
10 9 1 13 O 1.6165809599274636
10 9 2 8 O 1.8867615111613867
10 9 3 3 O 2.0005246811774153
10 9 4 6 O 2.4830972594725322
10 10 1 7 O 1.638216713380742
10 10 2 11 O 1.9299362683777928
10 10 3 12 O 1.9631436524105925
10 10 4 5 O 1.9784359984593893
11 0 1 12 O 1.8014063950147396
11 0 2 6 O 1.8353530995424288
11 0 3 8 O 1.8400703790887998
11 0 4 14 O 1.9073594312556823
11 1 1 3 O 1.7689604291786742
